"x" "y"
"1" -1 0.394394847980585
"2" 1 1.44138931501753
"3" -1 0.38399942061184
"4" 1 2.67896944870584
"5" -1 0.440432885596644
"6" 1 3.21521773356876
"7" -1 1.48206112303125
"8" 1 2.88791998351597
"9" -1 1.03024291958253
"10" 1 3.57473198560187
"11" -1 1.77354213190373
"12" 1 2.93817771076388
"13" -1 1.69956214475168
"14" 1 4.68254215583513
"15" -1 2.69056249679495
"16" 1 4.56561090957765
"17" -1 2.23342473784004
"18" 1 6.17149811035883
"19" -1 4.03066383145874
"20" 1 5.46930341961292
"21" -1 0.614455275454374
"22" 1 0.987727982878404
"23" -1 -0.988718016020001
"24" 1 1.3164478304251
"25" -1 -0.338324493755799
"26" 1 2.5170147360684
"27" -1 0.271160853141102
"28" 1 3.45863356230955
"29" -1 0.391254163209021
"30" 1 1.14368602644505
"31" -1 -1.99966875375327
"32" 1 0.942595145808578
"33" -1 -1.03458431111151
"34" 1 1.85869204182014
"35" -1 -0.394883583918956
"36" 1 1.05271267226013
"37" -1 -1.22091117009239
"38" 1 -0.951436877324881
"39" -1 -3.82590845000651
"40" 1 -2.88535225136431
"41" -1 -3.34249475425253
"42" 1 -1.60557537019008
"43" -1 -2.45555798038089
"44" 1 1.30648841934916
"45" -1 -0.815935231695699
"46" 1 1.54953719782622
"47" -1 -2.15648404135248
"48" 1 -0.759505414737033
"49" -1 -2.42734002388049
"50" 1 0.11448088184371
"51" -1 -2.45636532363954
"52" 1 2.47413020795121
"53" -1 -0.0316729519363
"54" 1 2.03573789988737
"55" -1 0.681955977052149
"56" 1 2.58774174457294
"57" -1 -0.114599816911469
"58" 1 2.94216582874298
"59" -1 2.46349456907589
"60" 1 4.18745114111846
"61" -1 2.53097337240968
"62" 1 4.18046353666608
"63" -1 2.97887240070164
"64" 1 3.52481776637162
"65" -1 3.69319621372893
"66" 1 4.7203453445677
"67" -1 0.989461395672841
"68" 1 2.53959742891249
"69" -1 0.63234617016624
"70" 1 4.19273276082984
"71" -1 2.88466916151818
"72" 1 4.73866067741215
"73" -1 1.07531108568277
"74" 1 2.10174223244238
"75" -1 -0.0717169230311493
"76" 1 4.48848088273256
"77" -1 0.379405220240888
"78" 1 3.47251935006282
"79" -1 0.798033157822617
"80" 1 4.38422074202777
"81" -1 1.00659802785159
"82" 1 3.04956145972918
"83" -1 -0.154945627946488
"84" 1 2.76406536120984
"85" -1 2.17143831382694
"86" 1 5.9050154888454
"87" -1 4.31211459755037
"88" 1 7.72416939237316
"89" -1 6.39817636179749
"90" 1 7.62648381379373
"91" -1 5.54087267069905
"92" 1 6.01479119215321
"93" -1 3.4281099035369
"94" 1 6.30626262153203
"95" -1 4.41692050286118
"96" 1 6.43258578420039
"97" -1 2.95119616609315
"98" 1 4.05156331914971
"99" -1 1.08180097348117
"100" 1 3.36891674614656
"101" -1 0.241517441065341
"102" 1 2.77940708705786
"103" -1 -0.414950033581469
"104" 1 3.45507542791204
"105" -1 1.77015923459894
